NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV,latitude,longitude
10010,ENJA,JAN MAYEN(NOR-NAVY),NO,7056N,00840W,9.0,70.93333333333334,-8.666666666666666
10014,ENSO,STORD/SOERSTOKKEN,NO,5948N,00521E,49.0,59.8,5.35
10015,ENBL,FORDE/BRINGELAND,NO,6127N,00552E,150.0,61.45,5.866666666666667
10017,ENFR,FRIGG,NO,5956N,00200E,,59.93333333333333,2.0
10030,,HORNSUND RIVER,NO,7700N,01530E,12.0,77.0,15.5
10040,ENAS,NY-ALESUND II,NO,7855N,01156E,8.0,78.91666666666667,11.933333333333334
10080,ENSB,SVALBARD/LONGYEAR,NO,7815N,01528E,29.0,78.25,15.466666666666667
10100,ENAN,ANDOYA/ANDENES(AFB),NO,6918N,01609E,14.0,69.3,16.15
10150,,HEKKINGEN (LGT-H),NO,6936N,01750E,14.0,69.6,17.833333333333332
10160,,SENJA/GRASMYRSKOGEN,NO,6917N,01746E,50.0,69.28333333333333,17.766666666666666
10230,ENDU,BARDUFOSS (CIV/MIL),NO,6903N,01833E,79.0,69.05,18.55
10250,ENTC,TROMSO/LANGNES,NO,6941N,01855E,10.0,69.68333333333334,18.916666666666668
10280,ENBJ,BJORNOYA ISLAND,NO,7431N,01901E,14.0,74.51666666666667,19.016666666666666
10320,,OVERBYGD,NO,6901N,01917E,78.0,69.01666666666667,19.283333333333335
10330,,TORSVAG (LGT-H),NO,7015N,01930E,24.0,70.25,19.5
10340,,FUGLOYKALVEN (LH),NO,7019N,02009E,37.0,70.31666666666666,20.15
10350,,KVESMENES-RYENG,NO,6915N,01959E,37.0,69.25,19.983333333333334
10410,,NORDREISA,NO,6945N,02102E,4.0,69.75,21.033333333333335
10430,,LOPPA,NO,7020N,02128E,11.0,70.33333333333333,21.466666666666665
10435,ENHK,HASVIK,NO,7029N,02209E,10.0,70.48333333333333,22.15
10450,,NORDSTRAUM I KVAENA,NO,6950N,02153E,6.0,69.83333333333333,21.883333333333333
10460,ENSR,SORKJOSEN,NO,6947N,02058E,6.0,69.78333333333333,20.966666666666665
10470,ENKA,KAUTOKEINO II,NO,6901N,02304E,330.0,69.01666666666667,23.066666666666666
10490,ENAT,ALTA AIRPORT,NO,6959N,02322E,3.0,69.98333333333333,23.366666666666667
10510,,SOLOVOMI,NO,6935N,02332E,374.0,69.58333333333333,23.533333333333335
10520,ENHF,HAMMERFEST,NO,7040N,02340E,81.0,70.66666666666667,23.666666666666668
10550,,FRUHOLMEN (LGT-H),NO,7106N,02400E,14.0,71.1,24.0
10570,,CUOVDATMAKKI,NO,6922N,02426E,286.0,69.36666666666666,24.433333333333334
10590,ENNA,BANAK/LAKSELV (AFB),NO,7004N,02459E,8.0,70.06666666666666,24.983333333333334
10620,ENHO,HOPEN ISLAND,NO,7630N,02504E,10.0,76.5,25.066666666666666
10650,,KARASJOK,NO,6928N,02530E,133.0,69.46666666666667,25.5
10660,,HELNES (LGT-H),NO,7104N,02614E,33.0,71.06666666666666,26.233333333333334
10680,ENHV,HONNINGSVAG/VALAN,NO,7101N,02559E,14.0,71.01666666666667,25.983333333333334
10740,ENMH,MEHAMN,NO,7102N,02750E,13.0,71.03333333333333,27.833333333333332
10750,,RUSTEFJELBMA,NO,7024N,02812E,11.0,70.4,28.2
10780,,SLETNES (LGT-H),NO,7105N,02814E,10.0,71.08333333333333,28.233333333333334
10830,ENBV,BERLEVAG,NO,7052N,02902E,13.0,70.86666666666666,29.033333333333335
10840,,PASVIK,NO,6910N,02915E,54.0,69.16666666666667,29.25
10880,ENVD,VADSO,NO,7004N,02951E,39.0,70.06666666666666,29.85
10885,ENBS,BATSFJORD,NO,7038N,02944E,10.0,70.63333333333334,29.733333333333334
10890,ENKR,KIRKENES (CIV/MIL),NO,6944N,02954E,91.0,69.73333333333333,29.9
10920,,MAKKAUR (LGT-H),NO,7042N,03005E,9.0,70.7,30.083333333333332
10970,ENSS,SVARTNES,NO,7021N,03103E,12.0,70.35,31.05
10980,,VARDO,NO,7022N,03106E,15.0,70.36666666666666,31.1
11020,,SKLINNA (LGT-H),NO,6512N,01100E,16.0,65.2,11.0
11030,,LEKA ISLAND,NO,6506N,01142E,47.0,65.1,11.7
11060,,ROST II ISLAND,NO,6730N,01205E,11.0,67.5,12.083333333333334
11070,ENRS,ROST (NOR-AFB),NO,6731N,01206E,4.0,67.51666666666667,12.1
11080,,VEGA-VALLSJO,NO,6542N,01151E,2.0,65.7,11.85
11120,ENBN,BRONNOYSUND/BRONNOY,NO,6528N,01213E,9.0,65.46666666666667,12.216666666666667
11133,ENDI,DAGALI,NO,6025N,00831E,798.0,60.416666666666664,8.516666666666667
11150,,MYKEN ISLAND,NO,6646N,01229E,21.0,66.76666666666667,12.483333333333333
11160,ENST,SANDNESSJOEN/STOKKA,NO,6558N,01228E,17.0,65.96666666666667,12.466666666666667
11210,,NORD-SOLVAER,NO,6624N,01237E,10.0,66.4,12.616666666666667
11220,ENMS,MOSJOEN/KJAERSTAD &,NO,6548N,01308E,70.0,65.8,13.133333333333333
11340,,MAJAVATN III,NO,6511N,01325E,339.0,65.18333333333334,13.416666666666666
11370,,STOTT,NO,6656N,01327E,12.0,66.93333333333334,13.45
11380,,TENNHOLMEN (LGT-H),NO,6718N,01330E,14.0,67.3,13.5
11410,ENLK,LEKNES,NO,6809N,01337E,26.0,68.15,13.616666666666667
11470,,SUSENDAL-BJORMO,NO,6531N,01401E,265.0,65.51666666666667,14.016666666666667
11490,,NERDAL I RANA,NO,6616N,01359E,39.0,66.26666666666667,13.983333333333333
11510,ENRA,MOIRANA,NO,6622N,01418E,70.0,66.36666666666666,14.3
11520,ENBO,BODO VI (CIV/MIL),NO,6716N,01422E,13.0,67.26666666666667,14.366666666666667
11540,,LITLOY FYR,NO,6835N,01418E,50.0,68.58333333333333,14.3
11550,,BO I VESTERALEN II,NO,6838N,01428E,13.0,68.63333333333334,14.466666666666667
11600,,SKROVA (LGT-H),NO,6809N,01439E,11.0,68.15,14.65
11610,ENSH,SVOLVAER/HELLE,NO,6815N,01440E,9.0,68.25,14.666666666666666
11620,ENSK,STORKMARKNES/SKAGEN,NO,6835N,01501E,3.0,68.58333333333333,15.016666666666667
11670,,SORTLAND,NO,6842N,01525E,3.0,68.7,15.416666666666666
11690,,SALTDAL,NO,6651N,01519E,81.0,66.85,15.316666666666666
11720,,FINNOY I HAMAROY,NO,6800N,01537E,53.0,68.0,15.616666666666667
