NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV
10010,ENJA,JAN MAYEN(NOR-NAVY),NO,7056N,00840W,9
10014,ENSO,STORD/SOERSTOKKEN,NO,5948N,00521E,49
10015,ENBL,FORDE/BRINGELAND,NO,6127N,00552E,150
10017,ENFR,FRIGG,NO,5956N,00200E,
10030,,HORNSUND RIVER,NO,7700N,01530E,12
10040,ENAS,NY-ALESUND II,NO,7855N,01156E,8
10080,ENSB,SVALBARD/LONGYEAR,NO,7815N,01528E,29
10100,ENAN,ANDOYA/ANDENES(AFB),NO,6918N,01609E,14
10150,,HEKKINGEN (LGT-H),NO,6936N,01750E,14
10160,,SENJA/GRASMYRSKOGEN,NO,6917N,01746E,50
10230,ENDU,BARDUFOSS (CIV/MIL),NO,6903N,01833E,79
10250,ENTC,TROMSO/LANGNES,NO,6941N,01855E,10
10280,ENBJ,BJORNOYA ISLAND,NO,7431N,01901E,14
10320,,OVERBYGD,NO,6901N,01917E,78
10330,,TORSVAG (LGT-H),NO,7015N,01930E,24
10340,,FUGLOYKALVEN (LH),NO,7019N,02009E,37
10350,,KVESMENES-RYENG,NO,6915N,01959E,37
10410,,NORDREISA,NO,6945N,02102E,4
10430,,LOPPA,NO,7020N,02128E,11
10435,ENHK,HASVIK,NO,7029N,02209E,10
10450,,NORDSTRAUM I KVAENA,NO,6950N,02153E,6
10460,ENSR,SORKJOSEN,NO,6947N,02058E,6
10470,ENKA,KAUTOKEINO II,NO,6901N,02304E,330
10490,ENAT,ALTA AIRPORT,NO,6959N,02322E,3
10510,,SOLOVOMI,NO,6935N,02332E,374
10520,ENHF,HAMMERFEST,NO,7040N,02340E,81
10550,,FRUHOLMEN (LGT-H),NO,7106N,02400E,14
10570,,CUOVDATMAKKI,NO,6922N,02426E,286
10590,ENNA,BANAK/LAKSELV (AFB),NO,7004N,02459E,8
10620,ENHO,HOPEN ISLAND,NO,7630N,02504E,10
10650,,KARASJOK,NO,6928N,02530E,133
10660,,HELNES (LGT-H),NO,7104N,02614E,33
10680,ENHV,HONNINGSVAG/VALAN,NO,7101N,02559E,14
10740,ENMH,MEHAMN,NO,7102N,02750E,13
10750,,RUSTEFJELBMA,NO,7024N,02812E,11
10780,,SLETNES (LGT-H),NO,7105N,02814E,10
10830,ENBV,BERLEVAG,NO,7052N,02902E,13
10840,,PASVIK,NO,6910N,02915E,54
10880,ENVD,VADSO,NO,7004N,02951E,39
10885,ENBS,BATSFJORD,NO,7038N,02944E,10
